Program Stream,Province/Territory,Employer,Address,Occupation,Code,Job Title,Incorporate Status,Approved LMIAs,Approved Positions,Quarter
    High Wage,Newfoundland and Labrador,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0","9535-Plastic products assemblers, finishers and inspectors",9535,"Plastic products assemblers, finishers and inspectors",Unknown,1.0,5.0,1
    High Wage,Newfoundland and Labrador,Green Bay Fibre Products ltd,"King's Point, NL A0J 1H0",7271-Carpenters,7271,Carpenters,Unknown,1.0,1.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",0711-Construction managers,0711,Construction managers,Corporation,2.0,2.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",0731-Managers in transportation,0731,Managers in transportation,Corporation,1.0,1.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1221-Administrative officers,1221,Administrative officers,Corporation,2.0,2.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1522-Storekeepers and partspersons,1522,Storekeepers and partspersons,Corporation,1.0,1.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2113-Geoscientists and oceanographers,2113,Geoscientists and oceanographers,Corporation,5.0,5.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2232-Mechanical engineering technologists and technicians,2232,Mechanical engineering technologists and technicians,Corporation,11.0,14.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2241-Electrical and electronics engineering technologists and technicians,2241,Electrical and electronics engineering technologists and technicians,Corporation,2.0,4.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2263-Inspectors in public and environmental health and occupational health and safety,2263,Inspectors in public and environmental health and occupational health and safety,Corporation,1.0,2.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","2273-Deck officers, water transport",2273,"Deck officers, water transport",Corporation,9.0,9.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","2274-Engineer officers, water transport",2274,"Engineer officers, water transport",Corporation,7.0,8.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",6522-Pursers and flight attendants,6522,Pursers and flight attendants,Corporation,2.0,2.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7237-Welders and related machine operators,7237,Welders and related machine operators,Corporation,2.0,3.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7242-Industrial electricians,7242,Industrial electricians,Corporation,4.0,4.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7302-Contractors and supervisors, heavy equipment operator crews",7302,"Contractors and supervisors, heavy equipment operator crews",Corporation,9.0,11.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7371-Crane operators,7371,Crane operators,Corporation,5.0,8.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7384-Other trades and related occupations, n.e.c.",7384,"Other trades and related occupations, n.e.c.",Corporation,20.0,59.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7532-Water transport deck and engine room crew,7532,Water transport deck and engine room crew,Corporation,1.0,3.0,1
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7612-Other trades helpers and labourers,7612,Other trades helpers and labourers,Corporation,2.0,4.0,1
   Low Wage,Newfoundland and Labrador,Barry Group Inc,"Port de Grave, NL A0A 3J0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Corporation,1.0,12.0,1
   Low Wage,Newfoundland and Labrador,Barry Group Inc,"Witless Bay, NL A0A 4K0",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Corporation,1.0,12.0,1
   Low Wage,Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Unknown,2.0,66.0,1
   Low Wage,Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9618-Labourers in fish and seafood processing,9618,Labourers in fish and seafood processing,Unknown,1.0,12.0,1
   Low Wage,Newfoundland and Labrador,BJH Enterprises Inc.,"St. John's, NL A1B 3R4",6322-Cooks,6322,Cooks,Unknown,1.0,1.0,1
   Low Wage,Newfoundland and Labrador,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,2.0,1
   Low Wage,Newfoundland and Labrador,Burton's Adventure Ltd,"St John's, NL A1H 1A1",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,1
   Low Wage,Newfoundland and Labrador,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",6322-Cooks,6322,Cooks,Unknown,1.0,2.0,1
