Program Stream,Province/Territory,Employer,Address,Occupation,Code,Job Title,Incorporate Status,Approved LMIAs,Approved Positions,Quarter
    High Wage,Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3111-Specialist physicians,3111,Specialist physicians,Non-Profit Organization,3.0,3.0,3
    High Wage,Newfoundland and Labrador,Memorial University of Newfoundland and Labrador,"St. John's, NL A1C 5S7",4011-University professors and lecturers,4011,University professors and lecturers,Unknown,1.0,1.0,3
    High Wage,Newfoundland and Labrador,Oceanex Inc.,"St. John's, NL A1C 1K4",0731-Managers in transportation,0731,Managers in transportation,Unknown,1.0,1.0,3
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2113-Geoscientists and oceanographers,2113,Geoscientists and oceanographers,Corporation,1.0,1.0,3
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7302-Contractors and supervisors, heavy equipment operator crews",7302,"Contractors and supervisors, heavy equipment operator crews",Corporation,1.0,1.0,3
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",7371-Crane operators,7371,Crane operators,Corporation,1.0,1.0,3
    High Wage,Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3","7384-Other trades and related occupations, n.e.c.",7384,"Other trades and related occupations, n.e.c.",Corporation,2.0,2.0,3
    High Wage,Newfoundland and Labrador,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,3111,Specialist physicians,Unknown,2.0,2.0,3
   Low Wage,Newfoundland and Labrador,3T's Limited,"Woody Point, NL A0K 1P0",9463-Fish and seafood plant workers,9463,Fish and seafood plant workers,Corporation,1.0,3.0,3
   Low Wage,Newfoundland and Labrador,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,1.0,3
   Low Wage,Newfoundland and Labrador,76361 NL Inc.,"Deer Lake, NL A8A 1E6",6311-Food service supervisors,6311,Food service supervisors,Unknown,1.0,2.0,3
